report_year,agency_code,agency_jurisdiction,population,violent_crimes,months_reported,crimes_percapita
1979,NY02900,"Nassau County, NY",1105718,1257,12,113.68
1979,LANPD00,"New Orleans, LA",567656,8894,12,1566.79
1979,NY03030,"New York City, NY",7109420,132383,12,1862.08
1979,NJNPD00,"Newark, NJ",315818,9647,12,3054.61
1979,CA00109,"Oakland, CA",344686,6064,12,1759.28
1979,OK05506,"Oklahoma City, OK",381348,3812,12,999.61
1979,NB02802,"Omaha, NE",370326,2017,12,544.66
1979,FL04804,"Orlando, FL",121515,1726,12,1420.4
1979,PAPEP00,"Philadelphia, PA",1757368,14537,12,827.2
1979,AZ00723,"Phoenix, AZ",718216,5803,12,807.97
1979,PAPPD00,"Pittsburgh, PA",439407,4649,12,1058.02
1979,OR02602,"Portland, OR",406525,4558,12,1121.21
1979,MD01721,"Prince George's County, MD",559514,4538,12,811.06
1979,NC09201,"Raleigh, NC",140285,804,12,573.12
1979,CA03404,"Sacramento, CA",274300,3212,12,1170.98
1979,UT01803,"Salt Lake City, UT",180189,1119,12,621.01
1979,TXSPD00,"San Antonio, TX",829138,4088,12,493.04
1979,CA03711,"San Diego, CA",829322,5436,12,655.48
1979,CA03801,"San Francisco, CA",659176,11041,12,1674.97
1979,CA04313,"San Jose, CA",604993,3236,12,534.88
1979,WASPD00,"Seattle, WA",521590,4857,12,931.19
1979,MOSPD00,"St. Louis, MO",505451,10774,12,2131.56
1979,NY05101,"Suffolk County, NY",1165851,3023,12,259.3
1979,FL02902,"Tampa, FL",277203,4206,12,1517.3
1979,AZ01003,"Tucson, AZ",315978,2029,12,642.13
1979,OK07205,"Tulsa, OK",343258,2326,12,677.62
1979,VA12800,"Virginia Beach, VA",244308,530,12,216.94
1979,DCMPD00,"Washington, DC",656000,10553,12,1608.69
1979,KS08703,"Wichita, KS",273559,1456,12,532.24
1979,,United States,,1208030,,548.9
1980,NM00101,"Albuquerque, NM",328837,2810,12,854.53
1980,TX22001,"Arlington, TX",161192,806,12,500.02
1980,GAAPD00,"Atlanta, GA",422474,11075,12,2621.46
1980,CO00101,"Aurora, CO",158249,1278,12,807.59
1980,TX22701,"Austin, TX",343425,1723,12,501.71
1980,MD00301,"Baltimore County, MD",651337,5774,12,886.48
1980,MDBPD00,"Baltimore, MD",784554,16571,12,2112.16
1980,MA01301,"Boston, MA",562582,12478,12,2217.99
1980,NY01401,"Buffalo, NY",357384,3833,12,1072.52
1980,NC06001,"Charlotte, NC",310794,2759,12,887.73
1980,ILCPD00,"Chicago, IL",2986419,28658,12,959.61
1980,OHCIP00,"Cincinnati, OH",383114,3930,12,1025.8
1980,OHCLP00,"Cleveland, OH",572657,11466,12,2002.25
1980,OHCOP00,"Columbus, OH",562416,5130,12,912.14
1980,TXDPD00,"Dallas, TX",900104,12681,12,1408.84
1980,CODPD00,"Denver, CO",489318,5520,12,1128.1
1980,MI82349,"Detroit, MI",1197325,23288,12,1945
1980,TX07102,"El Paso, TX",425122,2811,12,661.22
1980,VA02901,"Fairfax County, VA",568736,995,12,174.95
1980,TX22012,"Fort Worth, TX",382679,4693,12,1226.35
1980,CA01005,"Fresno, CA",215396,2369,12,1099.83
1980,HI00200,"Honolulu, HI",762020,2456,12,322.3
1980,TXHPD00,"Houston, TX",1557575,13499,10,866.67
1980,INIPD00,"Indianapolis, IN",698753,4453,12,637.28
1980,FL01602,"Jacksonville, FL",542795,4848,12,893.15
1980,MOKPD00,"Kansas City, MO",446865,7013,12,1569.38
1980,NV00201,"Las Vegas, NV",385396,4421,12,1147.13
1980,CA01941,"Long Beach, CA",356906,4634,12,1298.38
1980,CA01900,"Los Angeles County, CA",1020111,12593,12,1234.47
1980,CA01942,"Los Angeles, CA",2952511,51447,12,1742.48
1980,KY05680,"Louisville, KY",,,,
1980,TNMPD00,"Memphis, TN",644957,6898,12,1069.53
1980,AZ00717,"Mesa, AZ",149662,812,12,542.56
1980,FL01300,"Miami-Dade County, FL",774491,12429,12,1604.8
1980,FL01306,"Miami, FL",335718,11474,12,3417.75
1980,WIMPD00,"Milwaukee, WI",633845,3310,12,522.21
1980,MN02711,"Minneapolis, MN",370163,3917,12,1058.18
1980,MD01604,"Montgomery County, MD",519381,1433,12,275.91
1980,TN01901,"Nashville, TN",452025,3634,12,803.94
1980,NY02900,"Nassau County, NY",1049118,1462,12,139.36
1980,LANPD00,"New Orleans, LA",557761,8172,12,1465.14
1980,NY03030,"New York City, NY",7035348,149549,12,2125.68
1980,NJNPD00,"Newark, NJ",330104,11270,12,3414.08
1980,CA00109,"Oakland, CA",338721,7536,12,2224.84
1980,OK05506,"Oklahoma City, OK",401577,3734,12,929.83
1980,NB02802,"Omaha, NE",312919,1983,12,633.71
1980,FL04804,"Orlando, FL",127811,2350,12,1838.65
1980,PAPEP00,"Philadelphia, PA",1681175,17299,12,1028.98
1980,AZ00723,"Phoenix, AZ",772884,7020,12,908.29
1980,PAPPD00,"Pittsburgh, PA",424205,5120,12,1206.96
1980,OR02602,"Portland, OR",364419,4957,12,1360.25
1980,MD01721,"Prince George's County, MD",556147,5194,12,933.93
1980,NC09201,"Raleigh, NC",148429,784,12,528.2
1980,CA03404,"Sacramento, CA",274547,3221,12,1173.21
1980,UT01803,"Salt Lake City, UT",162985,1132,12,694.54
1980,TXSPD00,"San Antonio, TX",788049,4265,12,541.21
1980,CA03711,"San Diego, CA",874826,6189,12,707.45
1980,CA03801,"San Francisco, CA",674150,12710,12,1885.34
1980,CA04313,"San Jose, CA",628106,3788,12,603.08
1980,WASPD00,"Seattle, WA",491897,5201,12,1057.34
1980,MOSPD00,"St. Louis, MO",450790,10983,12,2436.39
1980,NY05101,"Suffolk County, NY",1158917,2967,12,256.01
1980,FL02902,"Tampa, FL",268709,5089,12,1893.87
1980,AZ01003,"Tucson, AZ",331506,2584,12,779.47
1980,OK07205,"Tulsa, OK",355766,2715,12,763.14
1980,VA12800,"Virginia Beach, VA",260680,530,12,203.31
1980,DCMPD00,"Washington, DC",635233,12772,12,2010.6
1980,KS08703,"Wichita, KS",279352,1823,12,652.58
1980,,United States,,1344520,,596.6
1981,NM00101,"Albuquerque, NM",336840,2985,12,886.18
1981,TX22001,"Arlington, TX",167848,699,12,416.45
1981,GAAPD00,"Atlanta, GA",435626,10608,12,2435.12
1981,CO00101,"Aurora, CO",162900,1437,12,882.14
1981,TX22701,"Austin, TX",357607,1545,12,432.04
1981,MD00301,"Baltimore County, MD",662025,6127,12,925.49
1981,MDBPD00,"Baltimore, MD",797429,17737,12,2224.27
1981,MA01301,"Boston, MA",566679,14071,12,2483.06
1981,NY01401,"Buffalo, NY",359167,3341,10,930.21
1981,NC06001,"Charlotte, NC",316503,3166,12,1000.31
1981,ILCPD00,"Chicago, IL",3012703,25609,12,850.03
1981,OHCIP00,"Cincinnati, OH",383441,3892,12,1015.02
1981,OHCLP00,"Cleveland, OH",573145,12429,12,2168.56
1981,OHCOP00,"Columbus, OH",562896,5263,12,934.99
1981,TXDPD00,"Dallas, TX",937273,12749,12,1360.22
1981,CODPD00,"Denver, CO",503695,5085,12,1009.54
1981,MI82349,"Detroit, MI",1193805,23176,12,1941.36
1981,TX07102,"El Paso, TX",442677,3510,12,792.9
1981,VA02901,"Fairfax County, VA",579696,934,11,161.12
1981,TX22012,"Fort Worth, TX",398482,4946,12,1241.21
1981,CA01005,"Fresno, CA",221129,2158,12,975.9
1981,HI00200,"Honolulu, HI",773331,1965,12,254.1
1981,TXHPD00,"Houston, TX",1621897,10274,9,633.46
1981,INIPD00,"Indianapolis, IN",461820,4539,12,982.85
1981,FL01602,"Jacksonville, FL",575157,5634,12,979.56
1981,MOKPD00,"Kansas City, MO",450211,7714,12,1713.42
1981,NV00201,"Las Vegas, NV",406915,4648,12,1142.25
1981,CA01941,"Long Beach, CA",366405,4579,12,1249.71
1981,CA01900,"Los Angeles County, CA",1047260,12059,12,1151.48
1981,CA01942,"Los Angeles, CA",3031090,52818,12,1742.54
1981,KY05680,"Louisville, KY",,,,
1981,TNMPD00,"Memphis, TN",654096,7056,12,1078.74
1981,AZ00717,"Mesa, AZ",153941,741,12,481.35
1981,FL01300,"Miami-Dade County, FL",822971,12755,12,1549.87
1981,FL01306,"Miami, FL",356734,11211,12,3142.68
1981,WIMPD00,"Milwaukee, WI",641715,3424,12,533.57
1981,MN02711,"Minneapolis, MN",372784,3883,12,1041.62
1981,MD01604,"Montgomery County, MD",527903,1716,12,325.06
1981,TN01901,"Nashville, TN",458430,3087,12,673.39
