report_year,agency_code,agency_jurisdiction,population,rapes,months_reported,rapes_percapita
1980,AZ00717,"Mesa, AZ",149662,62,12,41.43
1980,FL01300,"Miami-Dade County, FL",774491,533,12,68.82
1980,FL01306,"Miami, FL",335718,325,12,96.81
1980,WIMPD00,"Milwaukee, WI",633845,213,12,33.6
1980,MN02711,"Minneapolis, MN",370163,373,12,100.77
1980,MD01604,"Montgomery County, MD",519381,144,12,27.73
1980,TN01901,"Nashville, TN",452025,295,12,65.26
1980,NY02900,"Nassau County, NY",1049118,28,12,2.67
1980,LANPD00,"New Orleans, LA",557761,588,12,105.42
1980,NY03030,"New York City, NY",7035348,3711,12,52.75
1980,NJNPD00,"Newark, NJ",330104,546,12,165.4
1980,CA00109,"Oakland, CA",338721,434,12,128.13
1980,OK05506,"Oklahoma City, OK",401577,337,12,83.92
1980,NB02802,"Omaha, NE",312919,213,12,68.07
1980,FL04804,"Orlando, FL",127811,190,12,148.66
1980,PAPEP00,"Philadelphia, PA",1681175,937,12,55.73
1980,AZ00723,"Phoenix, AZ",772884,485,12,62.75
1980,PAPPD00,"Pittsburgh, PA",424205,299,12,70.48
1980,OR02602,"Portland, OR",364419,364,12,99.89
1980,MD01721,"Prince George's County, MD",556147,383,12,68.87
1980,NC09201,"Raleigh, NC",148429,64,12,43.12
1980,CA03404,"Sacramento, CA",274547,217,12,79.04
1980,UT01803,"Salt Lake City, UT",162985,140,12,85.9
1980,TXSPD00,"San Antonio, TX",788049,362,12,45.94
1980,CA03711,"San Diego, CA",874826,362,12,41.38
1980,CA03801,"San Francisco, CA",674150,759,12,112.59
1980,CA04313,"San Jose, CA",628106,479,12,76.26
1980,WASPD00,"Seattle, WA",491897,512,12,104.09
1980,MOSPD00,"St. Louis, MO",450790,392,12,86.96
1980,NY05101,"Suffolk County, NY",1158917,169,12,14.58
1980,FL02902,"Tampa, FL",268709,348,12,129.51
1980,AZ01003,"Tucson, AZ",331506,174,12,52.49
1980,OK07205,"Tulsa, OK",355766,251,12,70.55
1980,VA12800,"Virginia Beach, VA",260680,105,12,40.28
1980,DCMPD00,"Washington, DC",635233,439,12,69.11
1980,KS08703,"Wichita, KS",279352,202,12,72.31
1980,,United States,,,,
1981,NM00101,"Albuquerque, NM",336840,213,12,63.23
1981,TX22001,"Arlington, TX",167848,102,12,60.77
1981,GAAPD00,"Atlanta, GA",435626,644,12,147.83
1981,CO00101,"Aurora, CO",162900,76,12,46.65
1981,TX22701,"Austin, TX",357607,263,12,73.54
1981,MD00301,"Baltimore County, MD",662025,191,12,28.85
1981,MDBPD00,"Baltimore, MD",797429,565,12,70.85
1981,MA01301,"Boston, MA",566679,531,12,93.7
1981,NY01401,"Buffalo, NY",359167,229,10,63.76
1981,NC06001,"Charlotte, NC",316503,198,12,62.56
1981,ILCPD00,"Chicago, IL",3012703,1255,12,41.66
1981,OHCIP00,"Cincinnati, OH",383441,289,12,75.37
1981,OHCLP00,"Cleveland, OH",573145,621,12,108.35
1981,OHCOP00,"Columbus, OH",562896,396,12,70.35
1981,TXDPD00,"Dallas, TX",937273,1121,12,119.6
1981,CODPD00,"Denver, CO",503695,471,12,93.51
1981,MI82349,"Detroit, MI",1193805,1229,12,102.95
1981,TX07102,"El Paso, TX",442677,205,12,46.31
1981,VA02901,"Fairfax County, VA",579696,99,11,17.08
1981,TX22012,"Fort Worth, TX",398482,435,12,109.16
1981,CA01005,"Fresno, CA",221129,155,12,70.09
1981,HI00200,"Honolulu, HI",773331,265,12,34.27
1981,TXHPD00,"Houston, TX",1621897,967,9,59.62
1981,INIPD00,"Indianapolis, IN",461820,400,12,86.61
1981,FL01602,"Jacksonville, FL",575157,410,12,71.28
1981,MOKPD00,"Kansas City, MO",450211,429,12,95.29
1981,NV00201,"Las Vegas, NV",406915,310,12,76.18
1981,CA01941,"Long Beach, CA",366405,307,12,83.79
1981,CA01900,"Los Angeles County, CA",1047260,664,12,63.4
1981,CA01942,"Los Angeles, CA",3031090,2666,12,87.96
1981,KY05680,"Louisville, KY",,,,
