report_year,agency_code,agency_jurisdiction,population,assaults,months_reported,assaults_percapita
1977,TXHPD00,"Houston, TX",1613303,1810,12,112.19
1977,INIPD00,"Indianapolis, IN",509000,1220,12,239.69
1977,FL01602,"Jacksonville, FL",528698,2329,12,440.52
1977,MOKPD00,"Kansas City, MO",492055,2868,12,582.86
1977,NV00201,"Las Vegas, NV",279791,1068,12,381.71
1977,CA01941,"Long Beach, CA",346662,1094,12,315.58
1977,CA01900,"Los Angeles County, CA",1040180,6822,12,655.85
1977,CA01942,"Los Angeles, CA",2785393,15515,12,557.01
1977,KY05680,"Louisville, KY",,,,
1977,TNMPD00,"Memphis, TN",667150,1796,12,269.2
1977,AZ00717,"Mesa, AZ",116400,264,12,226.8
1977,FL01300,"Miami-Dade County, FL",657954,4676,12,710.69
1977,FL01306,"Miami, FL",333713,2637,12,790.2
1977,WIMPD00,"Milwaukee, WI",640489,879,12,137.24
1977,MN02711,"Minneapolis, MN",390294,1116,12,285.94
1977,MD01604,"Montgomery County, MD",491003,313,12,63.75
1977,TN01901,"Nashville, TN",456589,1000,12,219.02
1977,NY02900,"Nassau County, NY",1044946,257,12,24.59
1977,LANPD00,"New Orleans, LA",587776,2135,12,363.23
1977,NY03030,"New York City, NY",7481613,42056,12,562.12
1977,NJNPD00,"Newark, NJ",351412,2556,12,727.35
1977,CA00109,"Oakland, CA",339264,2267,12,668.21
1977,OK05506,"Oklahoma City, OK",373570,1602,12,428.84
1977,NB02802,"Omaha, NE",367281,906,12,246.68
1977,FL04804,"Orlando, FL",118374,769,12,649.64
1977,PAPEP00,"Philadelphia, PA",1897706,3954,12,208.36
1977,AZ00723,"Phoenix, AZ",682200,2315,12,339.34
1977,PAPPD00,"Pittsburgh, PA",482413,1729,12,358.41
1977,OR02602,"Portland, OR",385230,1892,12,491.14
1977,MD01721,"Prince George's County, MD",550201,1476,12,268.27
1977,NC09201,"Raleigh, NC",152840,402,12,263.02
1977,CA03404,"Sacramento, CA",265220,1393,12,525.22
1977,UT01803,"Salt Lake City, UT",180122,461,12,255.94
1977,TXSPD00,"San Antonio, TX",764217,1876,12,245.48
1977,CA03711,"San Diego, CA",788621,1585,12,200.98
1977,CA03801,"San Francisco, CA",676625,3208,12,474.12
