report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1977,TX22701,"Austin, TX",321900,512,12,159.06
1977,MD00301,"Baltimore County, MD",643363,717,12,111.45
1977,MDBPD00,"Baltimore, MD",827494,7563,12,913.96
1977,MA01301,"Boston, MA",619321,5655,12,913.1
1977,NY01401,"Buffalo, NY",415352,1822,12,438.66
1977,NC06001,"Charlotte, NC",262314,614,12,234.07
1977,ILCPD00,"Chicago, IL",3086806,16512,12,534.92
1977,OHCIP00,"Cincinnati, OH",423671,1625,12,383.55
1977,OHCLP00,"Cleveland, OH",638793,6466,12,1012.22
1977,OHCOP00,"Columbus, OH",568800,1752,12,308.02
1977,TXDPD00,"Dallas, TX",873700,3637,12,416.28
1977,CODPD00,"Denver, CO",520200,2488,12,478.28
1977,MI82349,"Detroit, MI",1316352,15832,12,1202.72
1977,TX07102,"El Paso, TX",386000,824,12,213.47
1977,VA02901,"Fairfax County, VA",517610,419,12,80.95
1977,TX22012,"Fort Worth, TX",383028,1132,12,295.54
1977,CA01005,"Fresno, CA",182629,958,12,524.56
1977,HI00200,"Honolulu, HI",721983,1081,12,149.73
1977,TXHPD00,"Houston, TX",1613303,6153,12,381.39
1977,INIPD00,"Indianapolis, IN",509000,2139,12,420.24
1977,FL01602,"Jacksonville, FL",528698,1466,12,277.28
1977,MOKPD00,"Kansas City, MO",492055,2326,12,472.71
1977,NV00201,"Las Vegas, NV",279791,1419,12,507.16
1977,CA01941,"Long Beach, CA",346662,1996,12,575.78
1977,CA01900,"Los Angeles County, CA",1040180,2963,12,284.85
1977,CA01942,"Los Angeles, CA",2785393,15246,12,547.36
1977,KY05680,"Louisville, KY",,,,
1977,TNMPD00,"Memphis, TN",667150,2749,12,412.05
1977,AZ00717,"Mesa, AZ",116400,83,12,71.31
1977,FL01300,"Miami-Dade County, FL",657954,2161,12,328.44
1977,FL01306,"Miami, FL",333713,2447,12,733.26
1977,WIMPD00,"Milwaukee, WI",640489,1389,12,216.87
1977,MN02711,"Minneapolis, MN",390294,1652,12,423.27
1977,MD01604,"Montgomery County, MD",491003,484,12,98.57
